File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF089PTD	fastq	reads	ENCSR900AQL	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				KHSRP-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF596MJB		2458626164	Michael Snyder, Stanford	34dee07a7febba0abe2741e3af600258		https://www.encodeproject.org/files/ENCFF089PTD/@@download/ENCFF089PTD.fastq.gz		Illumina HiSeq 4000	/files/ENCFF297OZN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF728HMZ	fastq	reads	ENCSR900AQL	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				KHSRP-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF722GWU		2462257268	Michael Snyder, Stanford	b47675d9605cdaa1753870da494a3128		https://www.encodeproject.org/files/ENCFF728HMZ/@@download/ENCFF728HMZ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF883YZS/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF596MJB	fastq	reads	ENCSR900AQL	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				KHSRP-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF089PTD		2949057507	Michael Snyder, Stanford	43dd6179a609157854dbd51704cd253d		https://www.encodeproject.org/files/ENCFF596MJB/@@download/ENCFF596MJB.fastq.gz		Illumina HiSeq 4000	/files/ENCFF568AEP/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF722GWU	fastq	reads	ENCSR900AQL	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				KHSRP-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF728HMZ		2973068381	Michael Snyder, Stanford	cb443712f63d393b0757b70dc99417ef		https://www.encodeproject.org/files/ENCFF722GWU/@@download/ENCFF722GWU.fastq.gz		Illumina HiSeq 4000	/files/ENCFF586CLX/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF649NUM	fastq	reads	ENCSR409OFU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SNW1-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF420DSV		3025099272	Michael Snyder, Stanford	d4e02424691e7b9ff02a6f1a324a99fb		https://www.encodeproject.org/files/ENCFF649NUM/@@download/ENCFF649NUM.fastq.gz		Illumina HiSeq 4000	/files/ENCFF791QAD/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF420DSV	fastq	reads	ENCSR409OFU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SNW1-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF649NUM		2479792309	Michael Snyder, Stanford	ccda94dfade98184170d57b2c77dda96		https://www.encodeproject.org/files/ENCFF420DSV/@@download/ENCFF420DSV.fastq.gz		Illumina HiSeq 4000	/files/ENCFF015WVE/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF239EHC	fastq	reads	ENCSR409OFU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SNW1-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF667JZR		2989967206	Michael Snyder, Stanford	05e4fec5f54c536d39db1435c724adf0		https://www.encodeproject.org/files/ENCFF239EHC/@@download/ENCFF239EHC.fastq.gz		Illumina HiSeq 4000	/files/ENCFF777KJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF667JZR	fastq	reads	ENCSR409OFU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SNW1-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF239EHC		3618223652	Michael Snyder, Stanford	85a38a07b0714e4ca94e67b1810c20e4		https://www.encodeproject.org/files/ENCFF667JZR/@@download/ENCFF667JZR.fastq.gz		Illumina HiSeq 4000	/files/ENCFF690OMV/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF623PPO	fastq	reads	ENCSR267BHU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF395-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	1	ENCFF280EUE		2205060547	Michael Snyder, Stanford	69beec04740fa253a42d31431d182dd1		https://www.encodeproject.org/files/ENCFF623PPO/@@download/ENCFF623PPO.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF280EUE	fastq	reads	ENCSR267BHU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF395-human	RNA					False	2017-11-18	ENCODE				1	1	101		paired-ended	2	ENCFF623PPO		2637674742	Michael Snyder, Stanford	8ed3a51f05dde86cc9e6c400cff7f60b		https://www.encodeproject.org/files/ENCFF280EUE/@@download/ENCFF280EUE.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF321POK	fastq	reads	ENCSR267BHU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF395-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF619KHH		3756438995	Michael Snyder, Stanford	ede62712aa473d8891115c7af96384ee		https://www.encodeproject.org/files/ENCFF321POK/@@download/ENCFF321POK.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF619KHH	fastq	reads	ENCSR267BHU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF395-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF321POK		4342160024	Michael Snyder, Stanford	00e7e173959e1fa916506cf9effba513		https://www.encodeproject.org/files/ENCFF619KHH/@@download/ENCFF619KHH.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF041OZG	fastq	reads	ENCSR819PCU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SETDB1-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	2	ENCFF789MIJ		1968064708	Michael Snyder, Stanford	95368e629cc4c9d6251c4677ca31938e		https://www.encodeproject.org/files/ENCFF041OZG/@@download/ENCFF041OZG.fastq.gz		Illumina HiSeq 4000	/files/ENCFF436EDN/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF390PLA	fastq	reads	ENCSR819PCU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SETDB1-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	1	ENCFF132WED		1540534229	Michael Snyder, Stanford	0f85901bba6b4e921f1154339b8dd48b		https://www.encodeproject.org/files/ENCFF390PLA/@@download/ENCFF390PLA.fastq.gz		Illumina HiSeq 4000	/files/ENCFF615EBT/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF789MIJ	fastq	reads	ENCSR819PCU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SETDB1-human	RNA					False	2017-11-18	ENCODE				3	1	101		paired-ended	1	ENCFF041OZG		1748814608	Michael Snyder, Stanford	4cc7f06b679b0c00a06a53bb031b098e		https://www.encodeproject.org/files/ENCFF789MIJ/@@download/ENCFF789MIJ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF112FMQ/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
ENCFF132WED	fastq	reads	ENCSR819PCU	CRISPRi followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				SETDB1-human	RNA					False	2017-11-18	ENCODE				2	1	101		paired-ended	2	ENCFF390PLA		1717594599	Michael Snyder, Stanford	91a09c9f512d01852ea4c1302f6af31c		https://www.encodeproject.org/files/ENCFF132WED/@@download/ENCFF132WED.fastq.gz		Illumina HiSeq 4000	/files/ENCFF692YJK/	released			experiment not submitted to GEO, inconsistent assay_term_name, missing RIN	missing spikeins	
