Sample,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,SAMPLE,LIBRARY,READ_GROUP,PF_NOT_ALIGNED_BASES
ENCSR000CPH_1,17265491216,15510521073,4864,8127852107,4837582131,2020751540,524330624,0,28643082,912898,0,52.4022,31.189,13.0283,3.3805,83.5912,75.0945,96.9113,0.714941,0.537846,0.504489,0.831269,,,,1754970143
ENCSR000CPH_2,18096103880,16184716043,6992,8467093057,4898344600,2292994351,526277282,0,29058266,766329,0,52.3154,30.2652,14.1677,3.2517,82.5806,73.8581,97.4305,0.743542,0.569856,0.487639,0.922314,,,,1911387837
ENCSR011GAO_1,6483908312,5430088523,36764,2399228506,1057249862,1125684784,847890618,0,1958215,1999129,0.0007,44.184,19.4702,20.7305,15.6147,63.6542,53.3086,49.4831,0.670854,0.627041,0.376066,1.097977,,,,1053819789
ENCSR011GAO_2,8412248994,7382671817,10504,4147527089,1915826497,735093338,584215426,0,3440268,3534489,1.00E-04,56.1792,25.9503,9.957,7.9133,82.1295,72.0777,49.3246,0.667574,0.713529,0.37322,1.230904,,,,1029577177
ENCSR016WFQ_1,9176958576,7829913945,13534,4301423372,2099652167,889535438,539290618,0,3819120,3897790,0.0002,54.9358,26.8158,11.3607,6.8876,81.7515,69.7516,49.4903,0.651029,0.593434,0.382882,1.061741,,,,1347044631
ENCSR016WFQ_2,6783568040,5729730945,23028,2714280114,1548688222,896707230,570033581,0,2715388,2759029,0.0004,47.3719,27.029,15.6501,9.9487,74.4008,62.8426,49.6014,0.638396,0.535607,0.426366,0.863833,,,,1053837095
ENCSR024HAR_1,8526263248,6010459605,47470,3879641609,1546045823,357606357,227121477,0,2955582,2982737,0.0008,64.5482,25.7226,5.9497,3.7788,90.2708,63.635,49.7714,0.642694,0.55119,0.341277,1.080508,,,,2515803643
ENCSR024HAR_2,5720935526,4145171946,24442,2528318171,1009923375,355841278,251066245,0,1893503,1913465,0.0006,60.9943,24.3638,8.5845,6.0568,85.3581,61.8473,49.7378,0.642862,0.550332,0.366242,0.990273,,,,1575763580
ENCSR028FBD_1,8830482924,5390520308,161600,3417094321,1437343915,324242649,211685709,0,2693198,2719654,0.003,63.3908,26.6643,6.0151,3.927,90.0551,54.9736,49.7556,0.677448,0.588899,0.351366,1.200279,,,,3439962616
ENCSR028FBD_2,7858974428,4838821008,210686,2995814409,1294214965,321786657,226806044,0,2387898,2434590,0.0044,61.9121,26.7465,6.6501,4.6872,88.6586,54.5876,49.5159,0.685228,0.588853,0.360083,1.143518,,,,3020153420
ENCSR039VEQ_1,6093867926,5116770376,17170,2873718048,1330298889,558127764,354609805,0,2459010,2517198,0.0003,56.1627,25.9988,10.9078,6.9303,82.1615,68.9877,49.4153,0.650876,0.566371,0.385836,0.922673,,,,977097550
ENCSR039VEQ_3,8320784606,5683564559,58984,3559130095,1279939440,507857762,336581828,0,2654438,2633922,0.001,62.6214,22.52,8.9356,5.922,85.1415,58.1564,50.194,0.664865,0.569153,0.360933,1.146059,,,,2637220047
ENCSR039VEQ_4,8177923944,5364306941,64236,3290341873,1276794119,469674389,327436597,0,2551339,2550429,0.0012,61.3377,23.8017,8.7555,6.104,85.1393,55.8471,50.0089,0.634945,0.537928,0.399175,0.950583,,,,2813617003
ENCSR043UMW_3,8117139720,5824562093,50096,3136758383,1235971291,828412171,623373344,0,2385581,2380681,0.0009,53.854,21.22,14.2227,10.7025,75.074,53.8703,50.0514,0.659265,0.576404,0.346041,1.083111,,,,2292577627
ENCSR043UMW_4,9709858008,6714081642,85244,3485974550,1369169985,1060198505,798657831,0,2692281,2691349,0.0013,51.9203,20.3925,15.7907,11.8953,72.3129,50.0022,50.0087,0.662295,0.587634,0.356151,1.108024,,,,2995776366
ENCSR046FQX_1,8245528496,5626468159,59388,3356649131,1456839796,458229376,354693976,0,2562743,2572573,0.0011,59.6582,25.8926,8.1442,6.304,85.5508,58.377,49.9043,0.671605,0.813534,0.344459,1.469466,,,,2619060337
ENCSR046FQX_2,8169067658,5573695709,282194,3252853347,1468812910,501631384,350143416,0,2506458,2554801,0.0051,58.3608,26.3526,9,6.2821,84.7134,57.7993,49.5224,0.665221,0.757222,0.385779,1.329225,,,,2595371949
ENCSR052BWT_1,9443179412,8125983351,12684,3654389252,1583435992,1650280079,1237867184,0,1910725,1928511,0.0002,44.9717,19.4861,20.3087,15.2334,64.4577,55.4668,49.7684,0.676506,0.43057,0.296161,0.799744,,,,1317196061
ENCSR052ZPX_3,7795612280,5955614286,47874,3846428067,1430743314,416613347,261783831,0,2698314,2687759,0.0008,64.5849,24.0234,6.9953,4.3956,88.6083,67.6941,50.098,0.671042,0.568732,0.332972,1.134324,,,,1839997994
ENCSR052ZPX_4,7523020350,5391975745,43834,3440912863,1310074136,397445454,243502307,0,2555603,2550006,0.0008,63.8154,24.2967,7.3711,4.516,88.1122,63.1527,50.0548,0.667839,0.555429,0.34201,1.113838,,,,2131044605
ENCSR069OUL_1,7678745180,6556115626,39996,3379689024,1422137287,952598163,801653428,0,2539762,2639667,0.0006,51.5502,21.6918,14.5299,12.2276,73.2419,62.534,49.0356,0.670087,0.602931,0.367836,1.055357,,,,1122629554
ENCSR069OUL_2,8805448660,7831028469,16766,4146569866,1808917970,1059559213,815965328,0,3362062,3428265,0.0002,52.9505,23.0994,13.5303,10.4196,76.0499,67.6341,49.5125,0.652535,0.64669,0.391964,1.056489,,,,974420191
ENCSR073QLQ_1,9561379322,4210864471,122008,2557767569,1195297699,274926695,182758268,0,2085280,2076265,0.0029,60.7421,28.386,6.529,4.3402,89.1281,39.2523,50.1083,0.669923,0.770003,0.390721,1.359084,,,,5350514851
ENCSR073QLQ_2,8729294054,5554385258,438946,3218683295,1409269249,514588560,411441603,0,2443623,2518153,0.0079,57.9485,25.3722,9.2645,7.4075,83.3207,53.0163,49.249,0.672436,0.733416,0.371164,1.3163,,,,3174908796
ENCSR074FBG_1,9083673764,5166999361,474094,2772570759,1437851545,508315958,447816574,0,2475910,2620511,0.0092,53.6592,27.8276,9.8377,8.6669,81.4868,46.3515,48.5813,0.623322,0.601522,0.413424,1.001846,,,,3916674403
ENCSR074FBG_2,9049432138,5289799108,1982428,2904128889,1416535894,427810562,539429962,0,2467885,2707056,0.0375,54.9006,26.7786,8.0875,10.1976,81.6792,47.7451,47.6891,0.645843,0.643162,0.383937,1.130051,,,,3759633030
ENCSR084NTT_1,10720880532,9318545145,17170,5780513575,2386574616,768600324,382840743,0,4321931,4350716,0.0002,62.0324,25.611,8.2481,4.1084,87.6434,76.1793,49.834,0.664878,0.635681,0.343608,1.193786,,,,1402335387
ENCSR084NTT_2,8738083276,7574444531,5050,4466666453,2073712845,679932744,354127843,0,3791003,3836149,1.00E-04,58.9702,27.3778,8.9767,4.6753,86.348,74.8491,49.704,0.655798,0.598833,0.392224,1.01342,,,,1163638745
ENCSR095PIC_1,5544023724,3749515499,28684,2362507169,883292950,289836409,213851962,0,1704592,1696953,0.0008,63.0083,23.5575,7.73,5.7035,86.5659,58.5459,50.1123,0.66645,0.497949,0.324884,1.055218,,,,1794508225
ENCSR095PIC_2,7831230536,5846140804,50904,3894609670,1411047431,328337506,212097096,0,2797169,2797972,0.0009,66.6185,24.1364,5.6163,3.628,90.7549,67.75,49.9928,0.667871,0.512073,0.322299,1.144518,,,,1985089732
ENCSR096VPS_3,8237918146,4922917176,95950,2522969425,1025128111,790676466,584053449,0,2082278,2077480,0.0019,51.2495,20.8236,16.0611,11.864,72.0731,43.0703,50.0577,0.672096,0.59049,0.323849,1.234751,,,,3315000970
ENCSR096VPS_4,6036932004,4290542736,35148,1778637772,772010319,1021572588,718289399,0,1523299,1523039,0.0008,41.4548,17.9933,23.8099,16.7412,59.4481,42.2507,50.0043,0.644713,0.564267,0.378916,1.01244,,,,1746389268
ENCSR103URL_1,5806368194,4927568138,7070,3150238551,1282369815,290471585,204481657,0,2304129,2348394,1.00E-04,63.9309,26.0244,5.8948,4.1497,89.9553,76.3405,49.5243,0.659381,0.603289,0.38054,1.011984,,,,878800056
ENCSR103URL_2,8573048064,7204570242,11918,4418077579,1946600323,486367495,353513750,0,3510044,3570415,0.0002,61.3233,27.019,6.7508,4.9068,88.3422,74.2405,49.5737,0.649387,0.630617,0.378647,1.068249,,,,1368477822
ENCSR104JMN_1,9445306890,6300477459,50096,3896064473,1501507090,529177964,373681411,0,2975371,2990743,0.0008,61.8376,23.8316,8.399,5.931,85.6692,57.1455,49.8712,0.660825,0.531615,0.32602,1.097271,,,,3144829431
ENCSR104JMN_2,8663007956,5195904105,62822,2935824950,1207387443,626754610,425878300,0,2373056,2381689,0.0012,56.5027,23.2373,12.0625,8.1964,79.74,47.8265,49.9092,0.656484,0.543536,0.350548,1.047612,,,,3467103851
ENCSR104QKG_3,5164713982,3214239652,138168,1749777518,838440969,336324907,289562690,0,1367473,1437602,0.0043,54.4383,26.0852,10.4636,9.0087,80.5235,50.1135,48.75,0.664298,0.63158,0.38205,1.060833,,,,1950474330
ENCSR104QKG_4,6594703090,4089084474,351278,2293596656,1038685147,394984840,361479613,0,1815274,1883679,0.0086,56.0907,25.4014,9.6595,8.8401,81.4921,50.5297,49.0753,0.673744,0.620473,0.355774,1.174247,,,,2505618616
ENCSR123IMQ_1,5764362294,3539504834,64438,2242173212,883683708,253903436,159683101,0,1684785,1703903,0.0018,63.3471,24.9663,7.1734,4.5115,88.3134,54.2273,49.7179,0.672439,0.587818,0.312045,1.193602,,,,2224857460
ENCSR123IMQ_2,6335474268,4686860397,36360,3010014492,1144866940,339368645,192575985,0,2206280,2219625,0.0008,64.2224,24.4272,7.2409,4.1088,88.6496,65.5812,49.8492,0.646911,0.546519,0.350171,1.042063,,,,1648613871
ENCSR126GEQ_1,11549409590,4886475769,478538,2882012993,1350926097,382909054,270172409,0,2449877,2475903,0.0098,58.9794,27.6462,7.8361,5.529,86.6256,36.6507,49.7358,0.690284,0.681381,0.376029,1.30866,,,,6662933821
ENCSR126GEQ_2,8539930366,4335414426,710030,2415760890,1137876714,413961856,367135439,0,2078998,2179946,0.0164,55.7216,26.2461,9.5484,8.4683,81.9677,41.612,48.8149,0.661827,0.654198,0.374216,1.207671,,,,4204515940
ENCSR160YSN_1,2405504678,1971548694,28078,872516497,401235954,399304034,298465876,0,721447,729557,0.0014,44.2554,20.3513,20.2533,15.1387,64.6067,52.9516,49.7205,0.637401,0.576718,0.420821,0.934276,,,,433955984
ENCSR160YSN_2,15526431646,7365383637,518130,4265086411,1806656975,757980537,535165987,0,3576320,3605303,0.007,57.9072,24.529,10.2911,7.266,82.4362,39.1059,49.7982,0.733985,0.58767,0.332746,1.355371,,,,8161048009
ENCSR171KMM_1,7557673450,6658074868,17574,3184541547,1582839474,1023236157,867441567,0,3048292,3245080,0.0003,47.8298,23.7732,15.3683,13.0284,71.603,63.08,48.4365,0.684275,0.631176,0.381333,1.053317,,,,899598582
ENCSR171KMM_2,7452828582,5642750640,59388,3103073079,1618843499,580177567,340599756,0,3159950,3266716,0.0011,54.9922,28.6889,10.2818,6.0361,83.6811,63.3574,49.1694,0.628191,0.606676,0.458096,0.892856,,,,1810077942
ENCSR171KMM_3,8790758008,6116566444,57570,3553345846,1330324669,727843558,504998424,0,2768656,2739722,0.0009,58.0938,21.7495,11.8995,8.2562,79.8433,55.5546,50.2626,0.672544,0.55628,0.340936,1.124707,,,,2674191564
ENCSR171KMM_4,12016989090,8190976386,137966,4796869131,1880291790,887801187,625884275,0,3909551,3910861,0.0017,58.5628,22.9556,10.8388,7.6411,81.5185,55.5643,49.9916,0.647003,0.561981,0.365041,1.070874,,,,3826012704
ENCSR171RTN_1,7731915418,5691716770,75750,3602605798,1315553248,423301040,350183216,0,2570711,2588459,0.0013,63.2956,23.1135,7.4371,6.1525,86.4091,63.6085,49.828,0.66205,0.550238,0.320379,1.187686,,,,2040198648
ENCSR171RTN_2,8952874320,5270757329,1868702,3134627569,1216534006,417853543,499960445,0,2408929,2536825,0.0355,59.4721,23.0808,7.9278,9.4856,82.5529,48.6007,48.707,0.658496,0.53942,0.329323,1.107815,,,,3682116991
ENCSR181WYS_1,7994174442,6972462085,25048,3495357885,1779772621,838334774,858973552,0,3226028,3465793,0.0004,50.1309,25.5257,12.0235,12.3195,75.6566,65.9872,48.2085,0.663113,0.636376,0.418078,0.991297,,,,1021712357
ENCSR181WYS_2,8204288580,6833416262,22826,3646271898,1911115449,757940578,518066774,0,3559557,3641563,0.0003,53.3594,27.9672,11.0917,7.5814,81.3266,67.7376,49.4306,0.624105,0.567701,0.45856,0.873429,,,,1370872318
ENCSR181WYS_3,8395699134,5632200195,64034,3201904291,1241877235,667903013,520456171,0,2478352,2470273,0.0011,56.85,22.0496,11.8587,9.2407,78.8996,52.9293,50.0816,0.648175,0.58417,0.382703,1.067423,,,,2763498939
ENCSR181WYS_4,6758834958,5258739264,15554,3386068425,1166766476,413670394,292219322,0,2613932,2587843,0.0003,64.3894,22.1872,7.8663,5.5568,86.5765,67.3612,50.2508,0.684026,0.530912,0.337976,1.208339,,,,1500095694
ENCSR184VVN_1,8310174758,7021393861,18988,3860685349,1919347369,801847922,439495330,0,3438104,3494502,0.0003,54.9846,27.3357,11.4201,6.2594,82.3203,69.5537,49.5932,0.661468,0.68305,0.392662,1.081786,,,,1288780897
ENCSR184VVN_2,10523588344,8626221590,55348,4679713477,2431702407,953553090,561200085,0,4423651,4546828,0.0006,54.2499,28.1897,11.0541,6.5057,82.4395,67.576,49.3134,0.629958,0.603832,0.459895,0.903212,,,,1897366754
ENCSR190RZZ_1,5461396028,3728492946,49692,2292086079,886492947,322816801,227049572,0,1687420,1692960,0.0013,61.4749,23.7762,8.6581,6.0896,85.251,58.2009,49.9181,0.653994,0.520947,0.345716,1.038581,,,,1732903082
ENCSR190RZZ_2,7068355114,5021581532,108676,2891040424,1105071513,578178671,447187613,0,2093264,2112815,0.0022,57.5723,22.0064,11.5139,8.9053,79.5788,56.5352,49.7676,0.66006,0.501523,0.345323,0.988897,,,,2046773582
ENCSR200UDS_1,7725618674,4435660627,68276,2545796277,1071119432,480203164,338477500,0,2061180,2074752,0.0015,57.3938,24.1479,10.826,7.6308,81.5418,46.8172,49.8359,0.680556,0.519478,0.319854,1.095108,,,,3289958047
ENCSR200UDS_2,7041985024,4405194116,39996,2783898195,1102369053,300995570,217894014,0,2115628,2129548,0.0009,63.1958,25.0243,6.8327,4.9463,88.2201,55.1871,49.836,0.661723,0.530012,0.328661,1.098868,,,,2636790908
ENCSR223QTD_1,7203340604,6232735816,14544,2610596695,1156651795,1426583311,1038890425,0,2107349,2142713,0.0002,41.8852,18.5577,22.8886,16.6683,60.4429,52.2986,49.584,0.649262,0.580693,0.367657,0.973946,,,,970604788
ENCSR223QTD_2,7388414418,6324449157,178770,3068985557,1359174956,889200210,1006926353,0,2435325,2805996,0.0028,48.5257,21.4908,14.0597,15.9212,70.0165,59.9338,46.464,0.66327,0.682085,0.402439,1.104721,,,,1063965261
ENCSR235ZEI_1,8020730978,6499205073,10302,3864937534,1716770429,580497218,336990055,0,3224635,3291396,0.0002,59.4679,26.4151,8.9318,5.1851,85.8829,69.591,49.4877,0.642036,0.569693,0.410867,0.902914,,,,1521525905
ENCSR235ZEI_3,9510368060,6503211464,90496,4248849043,1541349770,440175448,272751867,0,3180677,3150338,0.0014,65.3346,23.7014,6.7686,4.1941,89.036,60.883,50.2396,0.679265,0.592118,0.318054,1.284954,,,,3007156596
ENCSR235ZEI_4,8609682784,6770751454,99384,4225835835,1569041413,597917985,377860628,0,3130191,3121480,0.0015,62.4131,23.1738,8.8309,5.5808,85.5869,67.3065,50.0697,0.675121,0.564475,0.334478,1.150063,,,,1838931330
ENCSR243VNX_1,6259660032,5340586965,24846,2230493679,1004827720,1160600791,944641351,0,1887475,2001285,0.0005,41.765,18.8149,21.7317,17.688,60.5799,51.6853,48.5367,0.663877,0.60406,0.389439,1.04386,,,,919073067
ENCSR243VNX_2,6488113750,5471435766,26866,3430188735,1455925118,342710627,242586607,0,2706812,2767236,0.0005,62.6927,26.6096,6.2636,4.4337,89.3022,75.3087,49.4481,0.649247,0.640806,0.403242,1.028926,,,,1016677984
ENCSR263IOO_1,7134190752,5990093237,14746,3218984878,1383376894,787195028,600522569,0,2477678,2521773,0.0002,53.7385,23.0944,13.1416,10.0253,76.8329,64.5113,49.559,0.647425,0.559876,0.395465,0.965604,,,,1144097515
ENCSR263IOO_2,7534676154,6404374264,16766,3784921245,1622032780,567338275,430066236,0,2920144,2984458,0.0003,59.099,25.327,8.8586,6.7152,84.426,71.7609,49.4554,0.659276,0.650966,0.369602,1.110473,,,,1130301890
ENCSR267BHU_1,7714349700,5291620451,41006,3110657636,1283433500,537153348,360337636,0,2465637,2478857,0.0008,58.7846,24.2541,10.151,6.8096,83.0387,56.96,49.8663,0.665076,0.543893,0.345471,1.061251,,,,2422729249
ENCSR267BHU_2,13520107248,8522095621,77770,5371844763,2111095878,619108632,419973690,0,4107712,4104907,0.0009,63.0343,24.772,7.2647,4.9281,87.8063,55.3468,50.0171,0.664986,0.520606,0.311423,1.121462,,,,4998011627
ENCSR268DNJ_2,9267081702,4701227810,73688,2869670971,1194455154,375624948,261417356,0,1518007,1536068,0.0016,61.0409,25.4073,7.9899,5.5606,86.4482,43.8555,49.7043,0.668076,0.473372,0.289117,0.977997,,,,4565853892
ENCSR294ZCD_1,7054997056,4135596911,1206546,2170205017,1117385590,395022394,451826470,0,1933576,2108598,0.0292,52.4762,27.0187,9.5518,10.9253,79.4949,46.5995,47.8351,0.638553,0.616546,0.402784,1.087716,,,,2919400145
ENCSR294ZCD_2,5980712172,3747326825,256944,2025824324,1070495834,343978957,306782830,0,1833900,1921110,0.0069,54.0605,28.5669,9.1793,8.1867,82.6274,51.7718,48.8388,0.625361,0.614415,0.405115,1.014138,,,,2233385347
ENCSR299HUJ_1,7418526356,6408798749,8686,3910264529,1707396179,496408830,294721379,0,3119636,3184538,1.00E-04,61.014,26.6414,7.7457,4.5987,87.6554,75.7248,49.4852,0.660291,0.577949,0.376836,0.985567,,,,1009727607
ENCSR299HUJ_3,6554568922,4590617907,28280,2695670551,1213036961,391152073,290732169,0,2179290,2200455,0.0006,58.7213,26.4243,8.5207,6.3332,85.1456,59.6333,49.7584,0.652453,0.626156,0.329873,1.139719,,,,1963951015
ENCSR299HUJ_4,10598680632,7925484531,74134,4915293901,1766352535,714404621,529362217,0,3680149,3649044,0.0009,62.0188,22.287,9.014,6.6792,84.3058,63.0422,50.2122,0.686872,0.56669,0.280979,1.345132,,,,2673196101
ENCSR357LVC_3,8244316900,6031930577,71710,2870662923,1167920293,1158545949,834733264,0,2277126,2281743,0.0012,47.5911,19.3623,19.2069,13.8386,66.9534,48.9863,49.9494,0.660742,0.57633,0.368045,1.070987,,,,2212386323
